Epoch,Total Loss,Target Loss,Regularization Loss
1,2.2383509,2.2100475,0.28303424
2,1.891121,1.8628677,0.28253284
3,1.7638267,1.7358015,0.2802522
4,1.5148437,1.4861783,0.28665483
5,1.4365853,1.408617,0.27968344
6,1.0964648,1.0687364,0.27728376
7,0.9209383,0.8928013,0.28137052
8,0.8052668,0.7774317,0.27835086
9,0.64341927,0.6152787,0.28140524
10,0.57251626,0.5448257,0.27690592
11,0.4764481,0.44832537,0.28122735
12,0.451627,0.4237582,0.2786879
13,0.373021,0.34490722,0.28113797
14,0.27553594,0.24722092,0.28315032
15,0.21751313,0.18897745,0.28535676
16,0.20272139,0.17474312,0.27978265
17,0.22157875,0.19347394,0.2810481
18,0.14766647,0.11910158,0.28564894
19,0.17741935,0.14931887,0.28100482
20,0.11608274,0.08743645,0.28646287
21,0.1297284,0.102033935,0.27694473
22,0.11335528,0.085543215,0.27812067
23,0.1090983,0.081411,0.27687305
24,0.091130726,0.06282823,0.28302497
25,0.07129643,0.04215288,0.2914355
26,0.0731143,0.044581555,0.2853274
27,0.08169549,0.05300824,0.2868725
28,0.08141335,0.0538717,0.27541652
29,0.06061569,0.031980723,0.28634965
30,0.053705916,0.0253105,0.28395414
31,0.05342801,0.024926856,0.28501153
32,0.052903153,0.025044236,0.27858916
33,0.06342694,0.03541618,0.28010762
34,0.05294136,0.024988301,0.27953056
35,0.048439294,0.02018086,0.28258434
36,0.04987757,0.022031054,0.27846515
37,0.047908675,0.020380493,0.27528182
38,0.04507619,0.017007489,0.28068703
39,0.047439694,0.019893378,0.27546313
40,0.038430516,0.0097785,0.28652015
41,0.04272948,0.015163914,0.27565563
42,0.04073558,0.012793347,0.27942234
43,0.03848443,0.010701284,0.27783147
44,0.037556693,0.009611528,0.27945167
45,0.03788317,0.00962066,0.28262508
46,0.0376814,0.009890432,0.2779097
47,0.04035306,0.013060866,0.27292195
48,0.041616518,0.014306946,0.27309573
49,0.034888882,0.0065937936,0.28295088
50,0.041986953,0.0150909405,0.26896012
51,0.03832597,0.01135987,0.26966098
52,0.03792137,0.01014024,0.27781126
53,0.035929244,0.0077267857,0.2820246
54,0.037779607,0.010517517,0.27262092
55,0.03762854,0.010482434,0.27146107
56,0.033494797,0.00593244,0.27562356
57,0.03442343,0.0071272524,0.27296177
58,0.033535786,0.0062308037,0.2730498
59,0.03367243,0.0067236098,0.2694882
60,0.037019216,0.01014379,0.26875424
61,0.035658684,0.009045101,0.2661358
62,0.040489886,0.014308636,0.2618125
63,0.033231415,0.005885557,0.27345857
64,0.03314287,0.00627245,0.26870418
65,0.036394276,0.009836994,0.26557282
66,0.033651687,0.0064217504,0.27229935
67,0.03280866,0.0061609303,0.26647732
68,0.033446483,0.006739424,0.2670706
69,0.03328048,0.0063230703,0.2695741
70,0.033637453,0.006997646,0.26639807
71,0.031425506,0.0043329075,0.270926
72,0.03136483,0.0041652527,0.27199575
73,0.030400872,0.0029907883,0.27410084
74,0.031564392,0.004521691,0.270427
75,0.03135539,0.0045529036,0.26802486
76,0.030774502,0.0037109745,0.27063528
77,0.03175518,0.005497338,0.26257843
78,0.032649387,0.005940075,0.26709312
79,0.033332705,0.0068512363,0.26481467
80,0.032480422,0.0063156406,0.26164782
81,0.033765372,0.0081831785,0.2558219
82,0.030819252,0.004326868,0.26492384
83,0.031331506,0.00546414,0.25867367
84,0.03301648,0.0075575113,0.2545897
85,0.03231988,0.0064764163,0.25843465
86,0.03085478,0.004916278,0.25938502
87,0.03173915,0.005777917,0.25961232
88,0.030551795,0.004153018,0.26398778
89,0.032810334,0.00700346,0.25806874
90,0.030412767,0.0047692275,0.2564354
91,0.033684347,0.008126652,0.25557694
92,0.029814593,0.0042985124,0.2551608
