Epoch,Total Loss,Target Loss,Regularization Loss
1,4.0202208,3.990735,0.29485774
2,3.476032,3.4470413,0.28990766
3,2.9614651,2.9325495,0.2891574
4,2.4391963,2.4105515,0.28644848
5,2.1105437,2.0819538,0.28590053
6,1.5175555,1.4891803,0.28375116
7,1.3775584,1.3496462,0.27912176
8,0.87630826,0.84787434,0.284339
9,0.8108276,0.7828895,0.2793811
10,0.6467042,0.61926174,0.2744247
11,0.463823,0.43600252,0.2782046
12,0.3110247,0.28342903,0.2759567
13,0.2548193,0.22728023,0.27539065
14,0.22306517,0.19623639,0.26828778
15,0.11134162,0.083926074,0.27415544
16,0.12794748,0.100946315,0.27001163
17,0.08962183,0.062195465,0.27426362
18,0.07196612,0.044832557,0.2713356
19,0.064584285,0.037339758,0.27244526
20,0.05821098,0.03107027,0.2714071
21,0.04752633,0.02042387,0.27102458
22,0.053850755,0.027355423,0.26495332
23,0.04288096,0.016176384,0.26704577
24,0.04533431,0.019006982,0.26327327
25,0.038343254,0.011534917,0.26808336
26,0.034990504,0.00810297,0.26887536
27,0.035066217,0.00842871,0.26637506
28,0.035457447,0.009130977,0.26326472
29,0.032437757,0.005973382,0.26464373
30,0.032308325,0.0064859353,0.2582239
31,0.03222253,0.0062026926,0.26019838
32,0.030521385,0.0044743074,0.26047078
33,0.03053286,0.0047523696,0.2578049
34,0.029046346,0.003093636,0.2595271
35,0.029127544,0.002997296,0.26130247
36,0.029784143,0.003861978,0.25922164
37,0.029368307,0.003669734,0.25698572
38,0.028358273,0.0026238605,0.25734413
39,0.02900587,0.0029869627,0.2601891
40,0.028541919,0.0030117943,0.25530124
41,0.02852755,0.0026040599,0.2592349
42,0.027926384,0.0022621434,0.2566424
43,0.029640183,0.0043000486,0.25340134
44,0.028942786,0.0039607105,0.24982075
45,0.027573638,0.0023545558,0.25219083
46,0.029013691,0.0036450215,0.2536867
47,0.027458077,0.0024177597,0.25040317
48,0.027757976,0.0022682888,0.25489688
49,0.027332976,0.002401027,0.24931951
50,0.028240908,0.0035545977,0.2468631
51,0.027709922,0.0031983552,0.24511565
52,0.026610611,0.0014408953,0.25169715
53,0.026932389,0.0025555394,0.24376848
54,0.026930321,0.0018591888,0.25071132
55,0.027043965,0.0025101858,0.24533778
56,0.026525555,0.0016002312,0.24925323
57,0.026937645,0.002617393,0.24320252
58,0.026708694,0.0018992451,0.2480945
59,0.026715588,0.00221565,0.24499938
60,0.02610897,0.0014230603,0.2468591
61,0.026507452,0.002463706,0.24043746
62,0.026165469,0.001505502,0.24659966
63,0.026381593,0.0025380976,0.23843494
64,0.025854228,0.0010773172,0.2477691
65,0.026351457,0.0023233225,0.24028136
66,0.026002334,0.0018741474,0.24128187
67,0.025650611,0.0018040905,0.2384652
68,0.027069567,0.0031381021,0.23931463
69,0.026156068,0.0023938126,0.23762256
70,0.025763646,0.001555511,0.24208134
71,0.025713956,0.0015187729,0.24195182
72,0.025597168,0.0017492332,0.23847935
73,0.025586728,0.0011925974,0.24394129
74,0.026224244,0.0023773368,0.23846908
75,0.025318291,0.0017349615,0.2358333
76,0.025345877,0.0014737204,0.23872155
77,0.025389276,0.0017395627,0.23649713
78,0.024758637,0.0009460178,0.2381262
79,0.024973381,0.0013994935,0.23573887
80,0.025620699,0.001862776,0.23757923
81,0.025703628,0.002168883,0.23534745
82,0.02616505,0.0026752735,0.23489776
83,0.025352173,0.0020373329,0.2331484
84,0.025916696,0.002437043,0.23479652
85,0.025543218,0.0022237399,0.23319478
86,0.025041334,0.0012982017,0.23743132
87,0.025621785,0.002148217,0.23473568
88,0.024637427,0.0013895086,0.23247917
89,0.025108164,0.0021206446,0.22987519
90,0.025222927,0.002364112,0.22858815
91,0.024841093,0.0018650459,0.22976047
92,0.025027106,0.0016176798,0.23409426
93,0.024823379,0.0015497006,0.23273678
94,0.024934094,0.0020295894,0.22904506
95,0.024947606,0.0018541241,0.23093483
96,0.024988664,0.0021780585,0.22810607
97,0.024586322,0.001517613,0.23068708
98,0.024522433,0.0013221417,0.23200291
99,0.024963543,0.0021728491,0.22790693
100,0.024754042,0.0014790206,0.2327502
101,0.025364306,0.0025662896,0.22798017
102,0.02470887,0.0018558013,0.22853069
103,0.024324544,0.0012301942,0.23094349
104,0.024291245,0.0011578707,0.23133375
105,0.023937853,0.00088954525,0.23048307
106,0.02465184,0.0019999947,0.22651845
107,0.024283383,0.0013989237,0.2288446
108,0.02389586,0.0010649925,0.22830868
109,0.024647187,0.0017301246,0.22917062
110,0.026265804,0.0038310466,0.22434756
111,0.025103923,0.00209849,0.23005433
112,0.02439318,0.0015883517,0.22804828
113,0.02432591,0.0016123381,0.22713572
114,0.024430044,0.0019238562,0.22506188
115,0.024031555,0.0018093172,0.22222237
116,0.023665931,0.0008433661,0.22822565
117,0.02395051,0.0016918167,0.22258693
118,0.023810774,0.0011969267,0.22613847
119,0.023480518,0.00080922607,0.22671291
120,0.023982814,0.0016545608,0.22328252
121,0.023801101,0.0012647288,0.22536372
122,0.023349557,0.00077890814,0.22570649
123,0.023681443,0.0013082763,0.22373168
124,0.023888657,0.0013103357,0.22578321
125,0.023964327,0.00092835864,0.23035967
126,0.024393192,0.0021171446,0.22276047
127,0.024280258,0.001616325,0.22663932
128,0.02451992,0.0017515329,0.22768387
129,0.023614423,0.0015433526,0.22071071
130,0.024162432,0.0018975044,0.22264928
131,0.023527004,0.0012079617,0.22319041
132,0.02396451,0.0018725339,0.22091976
133,0.024221625,0.0021795647,0.2204206
134,0.02433379,0.0019925323,0.22341257
135,0.023821834,0.0015248,0.22297034
136,0.023308903,0.0012851085,0.22023794
137,0.023459323,0.0014011785,0.22058144
138,0.023418702,0.0016218445,0.21796858
139,0.02367631,0.0015706754,0.22105634
140,0.023145387,0.0011493607,0.21996026
141,0.023469727,0.0011126464,0.22357081
142,0.023496762,0.0017354062,0.21761355
143,0.023363864,0.0013044549,0.22059408
144,0.02323366,0.0012938256,0.21939835
145,0.023194967,0.0013291714,0.21865796
146,0.023282908,0.0011061924,0.22176716
147,0.023203172,0.0014998182,0.21703354
148,0.023012916,0.0011602858,0.21852629
149,0.023763329,0.0019191075,0.2184422
150,0.02279605,0.0010322058,0.21763845
151,0.023512043,0.0018055374,0.21706507
152,0.023521174,0.0018549513,0.21666223
153,0.022968413,0.00082091766,0.22147495
154,0.02296131,0.0013381161,0.21623193
