Epoch,Total Loss,Target Loss,Regularization Loss
1,3.38023,3.3525317,0.27698356
2,2.4077075,2.3801413,0.2756624
3,1.5517803,1.5245978,0.27182576
4,0.7669844,0.7395858,0.27398595
5,0.35453892,0.32743582,0.27103105
6,0.14813742,0.12082048,0.2731695
7,0.07305014,0.045901224,0.2714892
8,0.048816197,0.021567043,0.27249154
9,0.055090897,0.027911546,0.2717935
10,0.04267461,0.015568089,0.27106518
11,0.035828836,0.008704519,0.27124316
12,0.037034612,0.010496817,0.26537797
13,0.03382058,0.006828478,0.269921
14,0.02969842,0.002565607,0.27132812
15,0.030112466,0.003053468,0.27058998
16,0.030895416,0.0037206323,0.27174783
17,0.028512834,0.0011533445,0.2735949
18,0.028075509,0.0013225598,0.2675295
19,0.028355408,0.0010714671,0.2728394
20,0.028548919,0.0015175741,0.27031344
21,0.027838266,0.001006198,0.26832068
22,0.027323697,0.000570744,0.26752952
23,0.028138503,0.0010036051,0.27134898
24,0.027582524,0.00053870096,0.27043822
25,0.027782358,0.00028745213,0.27494904
26,0.027241727,0.00023396825,0.2700776
27,0.027645588,0.00044553966,0.2720005
28,0.027422763,0.000114951574,0.2730781
29,0.027177664,0.0001965298,0.26981133
30,0.027921772,0.0004296028,0.2749217
31,0.02738972,0.00020868133,0.27181038
32,0.02752534,0.00015324258,0.27372098
33,0.026927171,0.00012255464,0.26804617
34,0.02705073,0.00020574135,0.26844987
35,0.027227666,0.00021633151,0.27011335
36,0.027256472,0.00028379099,0.2697268
37,0.026999908,0.00016981666,0.2683009
38,0.027505616,0.00030495616,0.2720066
39,0.027345095,0.00010421702,0.27240878
40,0.027250806,0.00018151556,0.2706929
41,0.026973223,0.00020987503,0.26763347
42,0.026839547,0.00018142883,0.26658118
43,0.027426736,0.00035765927,0.27069077
44,0.027363924,0.00039783082,0.26966092
45,0.026930876,0.00021802292,0.26712853
46,0.027113542,0.00020873576,0.26904806
47,0.027452929,0.00010172871,0.273512
48,0.027122138,0.00015396612,0.26968172
49,0.02689449,8.596764e-05,0.2680852
50,0.0270417,9.8602e-05,0.26943097
51,0.026973065,0.00020538758,0.26767677
52,0.027162936,0.00017876216,0.26984173
53,0.027155377,0.00045453783,0.2670084
54,0.027126377,5.025807e-05,0.2707612
55,0.027137497,0.00042688244,0.26710615
56,0.027209546,0.0002865302,0.26923016
57,0.026943907,0.00025401035,0.26689896
58,0.027003555,0.00028337585,0.26720178
59,0.027034618,0.00022343558,0.26811182
60,0.027297355,6.92102e-05,0.27228144
61,0.027016278,0.00015587939,0.26860398
62,0.026881944,8.018124e-05,0.26801762
63,0.027058093,0.00013367571,0.26924416
64,0.027311377,5.6022054e-05,0.27255353
65,0.026564933,0.00011621592,0.26448718
66,0.02701452,0.0001813084,0.26833212
67,0.02694991,0.00012633635,0.26823574
68,0.026881028,0.00017172468,0.26709303
69,0.026973173,9.778053e-05,0.26875392
70,0.02688988,0.0001585433,0.26731336
71,0.02707067,0.00020884436,0.26861826
72,0.026954383,0.00021160727,0.26742774
73,0.027001897,0.00011873542,0.2688316
74,0.027040718,0.00013523566,0.26905483
75,0.026602525,0.00014518021,0.26457345
76,0.027617889,8.8232126e-05,0.27529657
77,0.027475882,0.00018522002,0.27290663
78,0.026950238,6.2800966e-05,0.26887438
79,0.027085135,0.00026072565,0.2682441
80,0.026768634,5.7110206e-05,0.26711524
81,0.027033467,0.00036521908,0.26668248
82,0.026857143,0.000105191975,0.2675195
83,0.02686882,0.000112136244,0.26756683
84,0.027168293,0.0002282004,0.26940092
85,0.027057594,3.1179876e-05,0.27026412
86,0.026969569,5.8557962e-05,0.2691101
87,0.026804458,0.000111510686,0.26692948
88,0.026836662,0.00011186119,0.267248
89,0.0268465,0.00025878532,0.26587716
90,0.026929054,0.00012436346,0.26804692
91,0.026864888,5.8066882e-05,0.26806822
92,0.026892448,0.00015085445,0.26741594
93,0.026844231,0.00014960858,0.26694623
94,0.02690989,0.00015861169,0.26751277
95,0.026490025,8.4637504e-05,0.26405388
96,0.027003622,0.0001996671,0.26803955
97,0.02661577,0.00010186224,0.26513907
98,0.027236482,0.00017489048,0.2706159
99,0.02643065,0.00017150502,0.26259145
100,0.026939716,0.000107940854,0.26831776
101,0.026793683,0.00016779799,0.26625884
102,0.026816811,0.000115569856,0.26701242
103,0.026960852,8.2788814e-05,0.26878062
104,0.027266787,0.000722018,0.2654477
105,0.027208444,5.200751e-05,0.27156436
106,0.027152617,3.075504e-05,0.27121863
107,0.026800007,6.622298e-05,0.26733783
108,0.026896095,0.00017003833,0.26726055
109,0.027174728,8.0678175e-05,0.27094048
110,0.027034825,0.00017284456,0.2686198
111,0.02697989,7.0328955e-05,0.2690956
112,0.026592217,0.0001387782,0.26453438
113,0.026510293,0.00015190875,0.26358384
114,0.026948247,8.6395405e-05,0.26861852
115,0.026725223,0.00013740313,0.2658782
116,0.02693859,0.00021486092,0.26723728
117,0.026783932,8.500248e-05,0.2669893
118,0.026623396,0.00013994072,0.26483455
119,0.026869573,0.00038791503,0.26481658
120,0.027091106,4.7700036e-05,0.27043405
121,0.02678437,5.4572e-05,0.26729798
122,0.026515573,0.00010585467,0.26409718
123,0.02666384,8.758583e-05,0.26576254
124,0.026687644,8.830238e-05,0.26599342
125,0.0264965,0.00012702015,0.2636948
126,0.026786806,0.0003059245,0.2648088
127,0.026742332,0.00032929485,0.26413035
128,0.02676968,8.1536564e-05,0.26688144
129,0.026539737,8.29748e-05,0.2645676
130,0.026537491,0.00014434237,0.26393148
131,0.026813826,3.1157462e-05,0.26782668
132,0.02655038,0.00010312488,0.26447254
133,0.02678725,0.00013131344,0.26655936
134,0.026753629,0.0001020079,0.2665162
135,0.026599856,4.7844387e-05,0.26552013
136,0.026911061,0.00027857404,0.26632488
137,0.026668964,0.00015011798,0.26518846
138,0.026914908,3.5567027e-05,0.2687934
139,0.026432412,5.7394947e-05,0.26375017
140,0.026974613,5.723501e-05,0.26917377
141,0.02668073,0.000313379,0.2636735
142,0.026377723,0.00021866057,0.2615906
143,0.026735608,0.00010290494,0.26632702
144,0.026728781,0.00017237829,0.26556402
145,0.026858462,0.00016415543,0.26694307
146,0.026675517,0.00010664775,0.2656887
147,0.02654469,0.00014301682,0.26401672
148,0.026606696,4.9528335e-05,0.26557168
149,0.026420321,0.00031017876,0.26110142
150,0.026487751,0.00015162288,0.26336128
151,0.02635033,7.6012824e-05,0.26274318
152,0.026915036,8.4805215e-05,0.26830232
153,0.026234906,0.00012571977,0.26109186
154,0.02681566,8.706474e-05,0.26728594
155,0.026315836,9.391703e-05,0.2622192
156,0.026816672,0.00022133434,0.26595336
157,0.0267274,0.00010397344,0.26623428
158,0.026622312,0.00015388633,0.26468426
159,0.02620099,7.736121e-05,0.26123628
160,0.026067412,0.00013915761,0.25928253
161,0.026302068,6.742201e-05,0.26234645
162,0.026516335,0.00013014424,0.2638619
163,0.026367158,0.00014428461,0.26222873
164,0.02640559,0.0002791559,0.26126432
