Epoch,Total Loss,Target Loss,Regularization Loss
1,2.040816,2.01201,0.28806034
2,1.8119445,1.7829682,0.28976274
3,1.232759,1.2039113,0.28847748
4,0.95252836,0.92380834,0.2872005
5,0.57628995,0.5475921,0.28697845
6,0.34469834,0.31596172,0.2873662
7,0.17610818,0.14747022,0.28637964
8,0.120764986,0.09203854,0.2872644
9,0.12450199,0.09595548,0.28546503
10,0.07537558,0.04685715,0.28518432
11,0.05624051,0.027453875,0.28786635
12,0.0667902,0.038280785,0.28509414
13,0.04550328,0.016830534,0.2867275
14,0.04120969,0.012948297,0.2826139
15,0.045420416,0.017128209,0.2829221
16,0.03556331,0.0066550616,0.28908247
17,0.041736055,0.013818207,0.27917847
18,0.03662149,0.0085257795,0.2809571
19,0.034305863,0.005957471,0.28348392
20,0.030315692,0.001467114,0.28848577
21,0.031639464,0.0035406256,0.2809884
22,0.035192452,0.007309171,0.2788328
23,0.030162357,0.0014299741,0.28732383
24,0.029969683,0.0014854823,0.284842
25,0.02991277,0.0009606243,0.28952146
26,0.029995885,0.002064052,0.27931833
27,0.030722737,0.0028469623,0.27875775
28,0.029761976,0.0013291144,0.2843286
29,0.028920801,0.0007419926,0.28178808
30,0.02967385,0.0023856186,0.2728823
31,0.028894072,0.00032177626,0.28572297
32,0.02847652,0.0003966018,0.28079918
33,0.028485961,0.00027134747,0.28214613
34,0.028756091,0.0007356907,0.280204
35,0.028085943,0.0006568341,0.2742911
36,0.028665315,0.00073166366,0.2793365
37,0.027758501,0.0002436657,0.27514836
38,0.028166018,0.00052517897,0.2764084
39,0.028174456,0.0006454426,0.27529013
40,0.028242642,0.00013818739,0.28104454
41,0.027834691,0.00039172912,0.27442962
42,0.028015329,0.00043182162,0.27583507
43,0.027914707,0.00025447644,0.2766023
44,0.027607925,0.00057002343,0.270379
45,0.02765912,0.0003625534,0.27296567
46,0.027963107,0.00025789687,0.2770521
47,0.02747213,0.00036026712,0.2711186
48,0.027606979,0.00018059369,0.27426386
49,0.027600417,0.00020485744,0.27395558
50,0.028057702,0.00054273114,0.2751497
51,0.027170554,0.00034906808,0.26821485
52,0.027138758,0.00013162234,0.27007136
53,0.027150916,0.0007839919,0.26366925
54,0.02735709,0.0005572416,0.2679985
55,0.02741532,0.00066104217,0.26754278
56,0.027782502,0.00040398934,0.2737851
57,0.027630057,0.0001387531,0.27491304
58,0.027275806,0.00014784107,0.27127963
59,0.027080394,0.0003790779,0.26701316
60,0.027511023,0.0006014867,0.26909536
61,0.027073726,0.00026908756,0.26804638
62,0.027704041,0.00043316738,0.27270874
63,0.027185787,0.00025726217,0.26928523
64,0.02720957,0.0002152293,0.26994342
65,0.026492007,0.00019341896,0.2629859
66,0.026672304,0.0003154665,0.26356837
67,0.02726767,0.00013334301,0.27134326
68,0.027751401,0.0011322219,0.26619178
69,0.026557181,0.00028654834,0.26270634
70,0.026701253,0.00027775927,0.26423493
71,0.026895566,0.0006800336,0.26215532
72,0.026958441,7.303858e-05,0.26885402
73,0.026996948,6.267657e-05,0.26934272
74,0.027420245,0.0009196422,0.26500604
75,0.026771316,0.00028397518,0.26487342
76,0.02717036,0.0005018815,0.26668477
77,0.026830865,0.00038145523,0.2644941
78,0.026749346,0.0005379232,0.26211423
79,0.026364755,0.0005523135,0.2581244
80,0.027053718,0.0005748764,0.26478842
81,0.02636189,0.00029035105,0.2607154
82,0.02688896,6.2124316e-05,0.26826835
83,0.026844751,3.8331615e-05,0.2680642
84,0.026366014,0.00026446662,0.26101547
85,0.02636751,0.00017037944,0.2619713
86,0.02619228,0.00022675194,0.25965527
87,0.026687363,0.00040782464,0.2627954
88,0.02628169,0.00045734705,0.25824344
89,0.026495267,0.00022334851,0.26271918
90,0.026432319,0.00018959143,0.26242727
91,0.026430875,0.0001843239,0.2624655
92,0.026017632,0.0003237931,0.2569384
93,0.0264797,0.00015600877,0.2632369
94,0.026351843,0.00035820255,0.2599364
95,0.026571885,0.00021032052,0.26361564
96,0.026868531,0.0006469838,0.26221547
97,0.026621528,0.00039797762,0.2622355
98,0.026260434,0.0003161523,0.2594428
99,0.026341634,0.0007777544,0.25563878
100,0.026421724,0.00082200556,0.25599718
101,0.026381377,0.00018510807,0.26196268
102,0.026533933,0.00045583415,0.260781
103,0.025917536,0.0003265901,0.25590944
104,0.026219789,0.00035245068,0.25867337
105,0.026446123,0.00033469568,0.26111427
106,0.026342293,0.0003195809,0.2602271
107,0.026078148,0.0002629376,0.2581521
108,0.026122395,0.00016088183,0.25961512
109,0.026160387,0.00011634856,0.26044038
110,0.026123948,0.00047709895,0.25646847
111,0.026124287,0.00019008886,0.25934198
112,0.026084578,0.0005503591,0.2553422
113,0.026188385,0.00034190447,0.25846478
114,0.026277114,0.0004472854,0.25829828
115,0.026263442,0.0005520961,0.25711346
116,0.02658023,0.00064750016,0.2593273
117,0.026264736,9.102267e-05,0.26173714
118,0.026385317,0.00039043138,0.25994885
119,0.025996372,0.00021480283,0.2578157
120,0.025540749,0.00011785254,0.25422895
121,0.02585575,0.00026949687,0.25586253
122,0.026287662,0.00021627294,0.26071388
123,0.025724782,0.00015338702,0.25571394
124,0.026205217,0.0006913061,0.2551391
125,0.025536342,0.000362012,0.2517433
126,0.026139464,0.00035650737,0.25782958
127,0.025620427,0.000468391,0.25152037
