Epoch,Total Loss,Target Loss,Regularization Loss
1,3.0919116,3.0644107,0.27500924
2,1.6655959,1.6378047,0.2779111
3,0.78965944,0.762081,0.27578387
4,0.17835435,0.15050495,0.27849412
5,0.16435942,0.1368714,0.27488017
6,0.068534,0.04081848,0.27715522
7,0.04104141,0.013067659,0.27973753
8,0.032554157,0.0046415604,0.27912596
9,0.031278256,0.0032643126,0.28013945
10,0.029272137,0.0007182846,0.28553852
11,0.028778814,0.00027084682,0.28507966
12,0.028409684,0.00038037225,0.2802931
13,0.028482417,0.00014708453,0.28335333
14,0.028145937,0.00020998475,0.27935952
15,0.028444825,0.00010434519,0.2834048
16,0.028242284,0.000116665775,0.2812562
17,0.028219912,0.00021698605,0.28002927
18,0.02832631,6.457696e-05,0.28261733
19,0.028684516,2.4130903e-05,0.28660384
20,0.028546343,3.2177904e-05,0.28514165
21,0.028209072,4.1572115e-05,0.28167498
22,0.028708206,4.1361767e-05,0.28666845
23,0.028160024,7.724269e-05,0.28082782
24,0.028150087,3.1060277e-05,0.28119028
25,0.028348766,8.039326e-05,0.28268373
26,0.0287742,1.9810166e-05,0.2875439
27,0.028756669,4.4937842e-05,0.2871173
28,0.029146433,5.662363e-06,0.2914077
29,0.028252145,2.807951e-05,0.28224066
30,0.028663617,2.002572e-05,0.2864359
31,0.02820929,2.7781269e-05,0.28181508
32,0.02893932,1.1249962e-05,0.28928068
33,0.028768985,7.532324e-06,0.28761452
34,0.028914489,3.6731146e-06,0.28910816
35,0.028767847,4.313862e-06,0.28763533
36,0.028400991,1.6092676e-05,0.28384897
37,0.028910311,3.7178227e-06,0.28906593
38,0.029185321,6.206229e-06,0.29179114
39,0.028178422,1.0654211e-05,0.28167766
40,0.028659133,1.4289718e-05,0.28644842
41,0.028608505,3.7252648e-06,0.2860478
42,0.028744776,1.11160125e-05,0.2873366
43,0.028041659,9.0672675e-06,0.28032592
44,0.028108826,4.2891093e-05,0.28065935
45,0.02880403,7.010861e-06,0.2879702
46,0.028422628,3.0321513e-05,0.28392306
47,0.028383404,7.837949e-06,0.28375566
48,0.028566554,3.6060665e-06,0.28562948
49,0.028687147,6.928957e-06,0.28680217
50,0.02861305,4.4852177e-06,0.28608564
51,0.02816837,9.3279905e-06,0.2815904
52,0.02826545,2.001862e-05,0.2824543
53,0.028542502,8.299841e-06,0.285342
54,0.028389508,2.771606e-06,0.28386736
55,0.028575622,8.366916e-06,0.28567255
56,0.02887263,5.051427e-06,0.28867579
57,0.028238496,9.64835e-06,0.28228846
58,0.028810048,1.6689254e-06,0.2880838
59,0.02794692,1.6196835e-05,0.27930722
60,0.028574737,1.2881442e-05,0.28561854
61,0.028364303,5.2824134e-06,0.2835902
62,0.02818324,3.873774e-05,0.28144503
63,0.028842108,5.7145116e-06,0.28836393
64,0.028399495,4.7608587e-06,0.28394735
65,0.028170602,3.1855998e-05,0.28138745
66,0.02853393,4.0530877e-06,0.28529876
67,0.02839075,3.3974502e-06,0.28387353
68,0.028160278,1.9869269e-05,0.28140408
69,0.028235612,1.2613584e-05,0.28223
70,0.028466418,1.0922218e-05,0.28455496
71,0.028325511,1.5042221e-05,0.2831047
72,0.028320406,6.2434883e-06,0.2831416
73,0.028173327,3.396951e-05,0.2813936
74,0.028377704,9.558734e-06,0.28368145
75,0.028530782,5.9082704e-06,0.28524873
76,0.028362637,1.1607702e-05,0.2835103
77,0.02826304,4.522471e-06,0.28258517
78,0.027987003,6.1988444e-06,0.27980804
79,0.028284105,7.219546e-06,0.28276885
80,0.028646959,6.6756165e-06,0.28640282
81,0.02796653,2.7915603e-05,0.27938613
82,0.027694141,1.6636674e-05,0.27677503
83,0.02825782,6.884199e-06,0.28250936
84,0.02831681,8.314497e-06,0.28308496
85,0.0281254,1.8118984e-05,0.2810728
86,0.027862769,1.5786904e-05,0.2784698
87,0.028501788,5.245164e-06,0.28496543
88,0.028514775,1.4461233e-05,0.28500313
89,0.027803214,1.0065614e-05,0.27793148
90,0.028334891,2.7194546e-06,0.2833217
91,0.028367741,8.10613e-06,0.28359634
92,0.028131435,8.046525e-06,0.28123388
93,0.028476639,7.308847e-06,0.2846933
94,0.027992576,3.5474524e-05,0.27957103
95,0.027874477,5.4463417e-06,0.2786903
96,0.028198462,1.9236151e-05,0.28179225
97,0.027943267,6.034902e-06,0.2793723
98,0.028603798,5.3643516e-06,0.28598434
99,0.028400522,4.1499507e-06,0.2839637
100,0.028299047,3.5166202e-06,0.2829553
101,0.028257053,7.696253e-06,0.28249356
102,0.027641812,1.2695466e-05,0.27629116
103,0.02787987,1.2501817e-05,0.27867368
104,0.027715208,2.232046e-05,0.27692887
105,0.02813702,5.476106e-06,0.28131545
106,0.027550029,2.2350006e-05,0.27527678
107,0.028355297,1.96899e-05,0.28335607
108,0.02804852,3.4123564e-06,0.2804511
109,0.028376067,5.5143893e-05,0.28320923
110,0.027721424,4.008392e-06,0.27717414
111,0.027594786,2.1366508e-05,0.2757342
112,0.028229224,1.0616881e-05,0.28218606
113,0.028042538,4.3734244e-06,0.28038165
114,0.028179972,2.1904661e-06,0.2817778
115,0.027903462,1.1935522e-05,0.27891526
116,0.02786499,1.15481635e-05,0.2785344
117,0.027696406,1.0341173e-05,0.27686065
118,0.027749192,8.337024e-06,0.27740854
119,0.028053757,1.4162681e-05,0.28039593
120,0.027639698,3.4348417e-05,0.2760535
121,0.02706868,1.6204707e-05,0.27052474
122,0.027787587,3.6954768e-06,0.27783892
123,0.028212339,2.756703e-06,0.28209582
124,0.028078789,9.074556e-06,0.28069714
125,0.027703166,1.13395e-05,0.27691826
126,0.027587144,2.366212e-05,0.2756348
127,0.027580483,4.7012977e-06,0.27575782
128,0.027973128,1.6256652e-05,0.2795687
129,0.027883388,3.6880015e-06,0.278797
130,0.027614117,3.157611e-05,0.2758254
131,0.027605515,1.2494278e-05,0.2759302
132,0.02753747,2.492045e-05,0.2751255
133,0.027303252,1.116083e-05,0.2729209
134,0.027193876,2.0860647e-05,0.27173015
135,0.027400102,2.8353254e-05,0.2737175
136,0.027536843,2.8014115e-06,0.2753404
137,0.02709906,6.983442e-05,0.27029225
138,0.027272338,5.5729947e-06,0.27266765
139,0.027523534,9.707856e-06,0.27513826
140,0.027546775,1.8654931e-05,0.2752812
141,0.027607087,6.0050734e-06,0.2760108
142,0.027151452,1.0885096e-05,0.27140567
